,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,redTopIndex,redTopName,redTopPlay,redJungleIndex,redJungleName,redJunglePlay,redMidIndex,redMidName,redMidPlay,redBotIndex,redBotName,redBotPlay,redSupportIndex,redSupportName,redSupportPlay,realistic_blue,realistic_red,blue_excel_early,blue_excel_mid,blue_excel_late,red_excel_early,red_excel_mid,red_excel_late,language,age,gender,education,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id
0,39,Illaoi,0.002288340743658534,62,Lee Sin,0.06931485725380143,24,Ekko,0.005335900712596242,27,Ezreal,0.05810049251758237,142,Yuumi,0.028316690091815016,44,Jax,0.007655454913949518,72,Master Yi,0.016671090149709814,144,Zed,0.010999224187051846,15,Caitlyn,0.03607300128808285,76,Nami,0.02187492808975514,1,3,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
1,39,Illaoi,0.002288340743658534,62,Lee Sin,0.06931485725380143,24,Ekko,0.005335900712596242,27,Ezreal,0.05810049251758237,142,Yuumi,0.028316690091815016,44,Jax,0.007655454913949518,72,Master Yi,0.016671090149709814,144,Zed,0.010999224187051846,15,Caitlyn,0.03607300128808285,76,Nami,0.02187492808975514,1,3,0.65,0.43,0.21,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
2,39,Illaoi,0.002288340743658534,62,Lee Sin,0.06931485725380143,24,Ekko,0.005335900712596242,27,Ezreal,0.05810049251758237,142,Yuumi,0.028316690091815016,44,Jax,0.007655454913949518,72,Master Yi,0.016671090149709814,144,Zed,0.010999224187051846,15,Caitlyn,0.03607300128808285,76,Nami,0.02187492808975514,1,3,0.65,0.43,0.21,0.16,0.43,0.69,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
3,106,Sion,0.0016071259857641208,62,Lee Sin,0.06931485725380143,144,Zed,0.010999224187051846,7,Aphelios,0.01662764353814789,142,Yuumi,0.028316690091815016,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,40,Irelia,0.0027179675580824487,49,Kalista,0.004300136427825036,42,Janna,0.011857549168425857,1,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
4,106,Sion,0.0016071259857641208,62,Lee Sin,0.06931485725380143,144,Zed,0.010999224187051846,7,Aphelios,0.01662764353814789,142,Yuumi,0.028316690091815016,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,40,Irelia,0.0027179675580824487,49,Kalista,0.004300136427825036,42,Janna,0.011857549168425857,1,4,0.53,0.27,0.05,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
5,106,Sion,0.0016071259857641208,62,Lee Sin,0.06931485725380143,144,Zed,0.010999224187051846,7,Aphelios,0.01662764353814789,142,Yuumi,0.028316690091815016,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,40,Irelia,0.0027179675580824487,49,Kalista,0.004300136427825036,42,Janna,0.011857549168425857,1,4,0.53,0.27,0.05,0.02,0.68,0.86,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
6,94,Renekton,0.007344118295492123,57,Kha'Zix,0.013057112879471531,61,LeBlanc,0.008503413870595554,47,Jinx,0.012734010883548641,42,Janna,0.011857549168425857,29,Fiora,0.0081470094558141,43,Jarvan IV,0.019745206217341695,112,Sylas,0.009561148921175204,128,Vayne,0.022346071560992952,66,Lulu,0.016540847583652266,4,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
7,94,Renekton,0.007344118295492123,57,Kha'Zix,0.013057112879471531,61,LeBlanc,0.008503413870595554,47,Jinx,0.012734010883548641,42,Janna,0.011857549168425857,29,Fiora,0.0081470094558141,43,Jarvan IV,0.019745206217341695,112,Sylas,0.009561148921175204,128,Vayne,0.022346071560992952,66,Lulu,0.016540847583652266,4,4,0.14,0.32,0.56,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
8,94,Renekton,0.007344118295492123,57,Kha'Zix,0.013057112879471531,61,LeBlanc,0.008503413870595554,47,Jinx,0.012734010883548641,42,Janna,0.011857549168425857,29,Fiora,0.0081470094558141,43,Jarvan IV,0.019745206217341695,112,Sylas,0.009561148921175204,128,Vayne,0.022346071560992952,66,Lulu,0.016540847583652266,4,4,0.14,0.32,0.56,0.93,0.89,0.87,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
9,29,Fiora,0.0081470094558141,131,Vi,0.005398781343082057,24,Ekko,0.005335900712596242,73,Miss Fortune,0.037818808970132685,75,Morgana,0.015169986838869621,77,Nasus,0.004153309610136628,93,Rek'Sai,0.00967257124126577,67,Lux,0.005367314717896645,15,Caitlyn,0.03607300128808285,14,Braum,0.006399661558270166,1,1,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
10,29,Fiora,0.0081470094558141,131,Vi,0.005398781343082057,24,Ekko,0.005335900712596242,73,Miss Fortune,0.037818808970132685,75,Morgana,0.015169986838869621,77,Nasus,0.004153309610136628,93,Rek'Sai,0.00967257124126577,67,Lux,0.005367314717896645,15,Caitlyn,0.03607300128808285,14,Braum,0.006399661558270166,1,1,0.01,0.02,0.05,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
11,29,Fiora,0.0081470094558141,131,Vi,0.005398781343082057,24,Ekko,0.005335900712596242,73,Miss Fortune,0.037818808970132685,75,Morgana,0.015169986838869621,77,Nasus,0.004153309610136628,93,Rek'Sai,0.00967257124126577,67,Lux,0.005367314717896645,15,Caitlyn,0.03607300128808285,14,Braum,0.006399661558270166,1,1,0.01,0.02,0.05,0.92,0.95,0.89,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
12,103,Shen,0.00710454046233914,80,Nidalee,0.005148529184013345,64,Lissandra,0.0019274227309047014,127,Varus,0.005941640520042968,63,Leona,0.021453362052759887,16,Camille,0.003114017295605776,93,Rek'Sai,0.00967257124126577,21,Diana,0.011504191500929661,48,Kai'Sa,0.03355216732648984,142,Yuumi,0.028316690091815016,2,2,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
13,103,Shen,0.00710454046233914,80,Nidalee,0.005148529184013345,64,Lissandra,0.0019274227309047014,127,Varus,0.005941640520042968,63,Leona,0.021453362052759887,16,Camille,0.003114017295605776,93,Rek'Sai,0.00967257124126577,21,Diana,0.011504191500929661,48,Kai'Sa,0.03355216732648984,142,Yuumi,0.028316690091815016,2,2,0.03,0.98,0.47,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
14,103,Shen,0.00710454046233914,80,Nidalee,0.005148529184013345,64,Lissandra,0.0019274227309047014,127,Varus,0.005941640520042968,63,Leona,0.021453362052759887,16,Camille,0.003114017295605776,93,Rek'Sai,0.00967257124126577,21,Diana,0.011504191500929661,48,Kai'Sa,0.03355216732648984,142,Yuumi,0.028316690091815016,2,2,0.03,0.98,0.47,0.93,0.17,0.76,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
15,20,Darius,0.014958875382451945,102,Shaco,0.010845159257805968,40,Irelia,0.0027179675580824487,127,Varus,0.005941640520042968,88,Pyke,0.01892902550967413,33,Garen,0.019608493880910526,81,Nocturne,0.005493495625711453,61,LeBlanc,0.008503413870595554,17,Cassiopeia,0.0005838140091102243,100,Senna,0.043651558475035754,3,3,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
16,20,Darius,0.014958875382451945,102,Shaco,0.010845159257805968,40,Irelia,0.0027179675580824487,127,Varus,0.005941640520042968,88,Pyke,0.01892902550967413,33,Garen,0.019608493880910526,81,Nocturne,0.005493495625711453,61,LeBlanc,0.008503413870595554,17,Cassiopeia,0.0005838140091102243,100,Senna,0.043651558475035754,3,3,0.97,0.95,0.93,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
17,20,Darius,0.014958875382451945,102,Shaco,0.010845159257805968,40,Irelia,0.0027179675580824487,127,Varus,0.005941640520042968,88,Pyke,0.01892902550967413,33,Garen,0.019608493880910526,81,Nocturne,0.005493495625711453,61,LeBlanc,0.008503413870595554,17,Cassiopeia,0.0005838140091102243,100,Senna,0.043651558475035754,3,3,0.97,0.95,0.93,0.03,0.01,0.05,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
18,122,Tryndamere,0.003864083706540475,99,Sejuani,0.008076254009346476,2,Akali,0.001857399104118325,27,Ezreal,0.05810049251758237,119,Thresh,0.051567001421490906,94,Renekton,0.007344118295492123,62,Lee Sin,0.06931485725380143,112,Sylas,0.009561148921175204,48,Kai'Sa,0.03355216732648984,100,Senna,0.043651558475035754,4,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
19,122,Tryndamere,0.003864083706540475,99,Sejuani,0.008076254009346476,2,Akali,0.001857399104118325,27,Ezreal,0.05810049251758237,119,Thresh,0.051567001421490906,94,Renekton,0.007344118295492123,62,Lee Sin,0.06931485725380143,112,Sylas,0.009561148921175204,48,Kai'Sa,0.03355216732648984,100,Senna,0.043651558475035754,4,4,0.06,0.07,0.08,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
20,122,Tryndamere,0.003864083706540475,99,Sejuani,0.008076254009346476,2,Akali,0.001857399104118325,27,Ezreal,0.05810049251758237,119,Thresh,0.051567001421490906,94,Renekton,0.007344118295492123,62,Lee Sin,0.06931485725380143,112,Sylas,0.009561148921175204,48,Kai'Sa,0.03355216732648984,100,Senna,0.043651558475035754,4,4,0.06,0.07,0.08,0.62,0.63,0.61,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
21,103,Shen,0.00710454046233914,134,Volibear,0.0018806579789490665,30,Fizz,0.007378528457548092,27,Ezreal,0.05810049251758237,119,Thresh,0.051567001421490906,85,Ornn,0.010046626179340507,62,Lee Sin,0.06931485725380143,98,Ryze,0.0025385121707739984,15,Caitlyn,0.03607300128808285,78,Nautilus,0.023872794447207205,4,1,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
22,103,Shen,0.00710454046233914,134,Volibear,0.0018806579789490665,30,Fizz,0.007378528457548092,27,Ezreal,0.05810049251758237,119,Thresh,0.051567001421490906,85,Ornn,0.010046626179340507,62,Lee Sin,0.06931485725380143,98,Ryze,0.0025385121707739984,15,Caitlyn,0.03607300128808285,78,Nautilus,0.023872794447207205,4,1,0.46,0.42,0.43,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
23,103,Shen,0.00710454046233914,134,Volibear,0.0018806579789490665,30,Fizz,0.007378528457548092,27,Ezreal,0.05810049251758237,119,Thresh,0.051567001421490906,85,Ornn,0.010046626179340507,62,Lee Sin,0.06931485725380143,98,Ryze,0.0025385121707739984,15,Caitlyn,0.03607300128808285,78,Nautilus,0.023872794447207205,4,1,0.46,0.42,0.43,0.21,0.19,0.24,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
24,103,Shen,0.00710454046233914,71,Master Yi,0.016671090149709814,64,Lissandra,0.0019274227309047014,8,Ashe,0.01096064977292873,119,Thresh,0.051567001421490906,68,Malphite,0.004871097340285659,62,Lee Sin,0.06931485725380143,53,Katarina,0.009896517881313276,140,Yasuo,0.0027438881338499974,100,Senna,0.043651558475035754,4,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
25,103,Shen,0.00710454046233914,71,Master Yi,0.016671090149709814,64,Lissandra,0.0019274227309047014,8,Ashe,0.01096064977292873,119,Thresh,0.051567001421490906,68,Malphite,0.004871097340285659,62,Lee Sin,0.06931485725380143,53,Katarina,0.009896517881313276,140,Yasuo,0.0027438881338499974,100,Senna,0.043651558475035754,4,4,0.29,0.29,0.26,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
26,103,Shen,0.00710454046233914,71,Master Yi,0.016671090149709814,64,Lissandra,0.0019274227309047014,8,Ashe,0.01096064977292873,119,Thresh,0.051567001421490906,68,Malphite,0.004871097340285659,62,Lee Sin,0.06931485725380143,53,Katarina,0.009896517881313276,140,Yasuo,0.0027438881338499974,100,Senna,0.043651558475035754,4,4,0.29,0.29,0.26,0.56,0.69,0.94,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
27,33,Garen,0.019608493880910526,35,Gragas,0.00673269355932371,147,Zoe,0.005812577141225,48,Kai'Sa,0.03355216732648984,119,Thresh,0.051567001421490906,44,Jax,0.007655454913949518,80,Nidalee,0.005148529184013345,1,Ahri,0.007275436072798261,128,Vayne,0.022346071560992952,142,Yuumi,0.028316690091815016,2,3,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
28,33,Garen,0.019608493880910526,35,Gragas,0.00673269355932371,147,Zoe,0.005812577141225,48,Kai'Sa,0.03355216732648984,119,Thresh,0.051567001421490906,44,Jax,0.007655454913949518,80,Nidalee,0.005148529184013345,1,Ahri,0.007275436072798261,128,Vayne,0.022346071560992952,142,Yuumi,0.028316690091815016,2,3,0.7,0.21,0.38,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
29,33,Garen,0.019608493880910526,35,Gragas,0.00673269355932371,147,Zoe,0.005812577141225,48,Kai'Sa,0.03355216732648984,119,Thresh,0.051567001421490906,44,Jax,0.007655454913949518,80,Nidalee,0.005148529184013345,1,Ahri,0.007275436072798261,128,Vayne,0.022346071560992952,142,Yuumi,0.028316690091815016,2,3,0.7,0.21,0.38,0.15,0.54,0.64,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
30,33,Garen,0.019608493880910526,24,Ekko,0.0207097357357504,67,Lux,0.005367314717896645,27,Ezreal,0.05810049251758237,66,Lulu,0.016540847583652266,0,Aatrox,0.008396035324805368,62,Lee Sin,0.06931485725380143,84,Orianna,0.0046886047952157985,48,Kai'Sa,0.03355216732648984,50,Karma,0.006833538979887967,1,2,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
31,33,Garen,0.019608493880910526,24,Ekko,0.0207097357357504,67,Lux,0.005367314717896645,27,Ezreal,0.05810049251758237,66,Lulu,0.016540847583652266,0,Aatrox,0.008396035324805368,62,Lee Sin,0.06931485725380143,84,Orianna,0.0046886047952157985,48,Kai'Sa,0.03355216732648984,50,Karma,0.006833538979887967,1,2,0.77,0.49,0.38,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
32,33,Garen,0.019608493880910526,24,Ekko,0.0207097357357504,67,Lux,0.005367314717896645,27,Ezreal,0.05810049251758237,66,Lulu,0.016540847583652266,0,Aatrox,0.008396035324805368,62,Lee Sin,0.06931485725380143,84,Orianna,0.0046886047952157985,48,Kai'Sa,0.03355216732648984,50,Karma,0.006833538979887967,1,2,0.77,0.49,0.38,0.05,0.19,0.16,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
33,33,Garen,0.019608493880910526,125,Udyr,0.0016969342631993794,30,Fizz,0.007378528457548092,46,Jhin,0.021406666311062736,119,Thresh,0.051567001421490906,140,Yasuo,0.002045755580169183,55,Kayn,0.014874667910108894,53,Katarina,0.009896517881313276,15,Caitlyn,0.03607300128808285,11,Bard,0.009821706366220356,3,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
34,33,Garen,0.019608493880910526,125,Udyr,0.0016969342631993794,30,Fizz,0.007378528457548092,46,Jhin,0.021406666311062736,119,Thresh,0.051567001421490906,140,Yasuo,0.002045755580169183,55,Kayn,0.014874667910108894,53,Katarina,0.009896517881313276,15,Caitlyn,0.03607300128808285,11,Bard,0.009821706366220356,3,4,0.18,0.13,0.1,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
35,33,Garen,0.019608493880910526,125,Udyr,0.0016969342631993794,30,Fizz,0.007378528457548092,46,Jhin,0.021406666311062736,119,Thresh,0.051567001421490906,140,Yasuo,0.002045755580169183,55,Kayn,0.014874667910108894,53,Katarina,0.009896517881313276,15,Caitlyn,0.03607300128808285,11,Bard,0.009821706366220356,3,4,0.18,0.13,0.1,0.71,0.75,0.76,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
36,33,Garen,0.019608493880910526,122,Tryndamere,0.0006344606343394903,116,Talon,0.004901705622693233,73,Miss Fortune,0.037818808970132685,78,Nautilus,0.023872794447207205,29,Fiora,0.0081470094558141,131,Vi,0.005398781343082057,53,Katarina,0.009896517881313276,15,Caitlyn,0.03607300128808285,42,Janna,0.011857549168425857,1,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
37,33,Garen,0.019608493880910526,122,Tryndamere,0.0006344606343394903,116,Talon,0.004901705622693233,73,Miss Fortune,0.037818808970132685,78,Nautilus,0.023872794447207205,29,Fiora,0.0081470094558141,131,Vi,0.005398781343082057,53,Katarina,0.009896517881313276,15,Caitlyn,0.03607300128808285,42,Janna,0.011857549168425857,1,4,0.9,0.54,0.47,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
38,33,Garen,0.019608493880910526,122,Tryndamere,0.0006344606343394903,116,Talon,0.004901705622693233,73,Miss Fortune,0.037818808970132685,78,Nautilus,0.023872794447207205,29,Fiora,0.0081470094558141,131,Vi,0.005398781343082057,53,Katarina,0.009896517881313276,15,Caitlyn,0.03607300128808285,42,Janna,0.011857549168425857,1,4,0.9,0.54,0.47,0.1,0.24,0.77,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
39,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,97,Rumble,0.0015187294970338925,46,Jhin,0.021406666311062736,100,Senna,0.043651558475035754,74,Mordekaiser,0.012094809295690226,57,Kha'Zix,0.013057112879471531,1,Ahri,0.007275436072798261,73,Miss Fortune,0.037818808970132685,66,Lulu,0.016540847583652266,2,3,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
40,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,97,Rumble,0.0015187294970338925,46,Jhin,0.021406666311062736,100,Senna,0.043651558475035754,74,Mordekaiser,0.012094809295690226,57,Kha'Zix,0.013057112879471531,1,Ahri,0.007275436072798261,73,Miss Fortune,0.037818808970132685,66,Lulu,0.016540847583652266,2,3,0.14,0.32,0.62,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
41,33,Garen,0.019608493880910526,25,Elise,0.019472053339195255,97,Rumble,0.0015187294970338925,46,Jhin,0.021406666311062736,100,Senna,0.043651558475035754,74,Mordekaiser,0.012094809295690226,57,Kha'Zix,0.013057112879471531,1,Ahri,0.007275436072798261,73,Miss Fortune,0.037818808970132685,66,Lulu,0.016540847583652266,2,3,0.14,0.32,0.62,0.61,0.38,0.22,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
42,126,Urgot,0.0013251826493248058,143,Zac,0.022582715719356494,144,Zed,0.010999224187051846,8,Ashe,0.01096064977292873,50,Karma,0.006833538979887967,118,Teemo,0.003276672184214526,104,Shyvana,0.006071509938783549,2,Akali,0.001857399104118325,73,Miss Fortune,0.037818808970132685,67,Lux,0.010197378037337607,3,4,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
43,126,Urgot,0.0013251826493248058,143,Zac,0.022582715719356494,144,Zed,0.010999224187051846,8,Ashe,0.01096064977292873,50,Karma,0.006833538979887967,118,Teemo,0.003276672184214526,104,Shyvana,0.006071509938783549,2,Akali,0.001857399104118325,73,Miss Fortune,0.037818808970132685,67,Lux,0.010197378037337607,3,4,0.22,0.46,0.72,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
44,126,Urgot,0.0013251826493248058,143,Zac,0.022582715719356494,144,Zed,0.010999224187051846,8,Ashe,0.01096064977292873,50,Karma,0.006833538979887967,118,Teemo,0.003276672184214526,104,Shyvana,0.006071509938783549,2,Akali,0.001857399104118325,73,Miss Fortune,0.037818808970132685,67,Lux,0.010197378037337607,3,4,0.22,0.46,0.72,0.74,0.4,0.23,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
45,20,Darius,0.014958875382451945,62,Lee Sin,0.06931485725380143,21,Diana,0.011504191500929661,46,Jhin,0.021406666311062736,148,Zyra,0.004153309610136628,2,Akali,0.0009236607258920409,143,Zac,0.022582715719356494,133,Vladimir,0.006234968896018543,65,Lucian,0.023872794447207205,14,Braum,0.006399661558270166,1,1,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
46,20,Darius,0.014958875382451945,62,Lee Sin,0.06931485725380143,21,Diana,0.011504191500929661,46,Jhin,0.021406666311062736,148,Zyra,0.004153309610136628,2,Akali,0.0009236607258920409,143,Zac,0.022582715719356494,133,Vladimir,0.006234968896018543,65,Lucian,0.023872794447207205,14,Braum,0.006399661558270166,1,1,0.92,0.87,0.84,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
47,20,Darius,0.014958875382451945,62,Lee Sin,0.06931485725380143,21,Diana,0.011504191500929661,46,Jhin,0.021406666311062736,148,Zyra,0.004153309610136628,2,Akali,0.0009236607258920409,143,Zac,0.022582715719356494,133,Vladimir,0.006234968896018543,65,Lucian,0.023872794447207205,14,Braum,0.006399661558270166,1,1,0.92,0.87,0.84,0.18,0.14,0.09,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
48,29,Fiora,0.0081470094558141,24,Ekko,0.0207097357357504,116,Talon,0.004901705622693233,7,Aphelios,0.01662764353814789,11,Bard,0.009821706366220356,85,Ornn,0.010046626179340507,81,Nocturne,0.005493495625711453,52,Kassadin,0.007447486422735779,65,Lucian,0.023872794447207205,142,Yuumi,0.028316690091815016,4,1,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
49,29,Fiora,0.0081470094558141,24,Ekko,0.0207097357357504,116,Talon,0.004901705622693233,7,Aphelios,0.01662764353814789,11,Bard,0.009821706366220356,85,Ornn,0.010046626179340507,81,Nocturne,0.005493495625711453,52,Kassadin,0.007447486422735779,65,Lucian,0.023872794447207205,142,Yuumi,0.028316690091815016,4,1,0.13,0.62,0.94,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
50,29,Fiora,0.0081470094558141,24,Ekko,0.0207097357357504,116,Talon,0.004901705622693233,7,Aphelios,0.01662764353814789,11,Bard,0.009821706366220356,85,Ornn,0.010046626179340507,81,Nocturne,0.005493495625711453,52,Kassadin,0.007447486422735779,65,Lucian,0.023872794447207205,142,Yuumi,0.028316690091815016,4,1,0.13,0.62,0.94,0.06,0.34,0.64,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
51,103,Shen,0.00710454046233914,24,Ekko,0.0207097357357504,129,Veigar,0.0033588805113738338,27,Ezreal,0.05810049251758237,100,Senna,0.043651558475035754,44,Jax,0.007655454913949518,93,Rek'Sai,0.00967257124126577,21,Diana,0.011504191500929661,128,Vayne,0.022346071560992952,13,Brand,0.005430300456492317,1,3,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
52,103,Shen,0.00710454046233914,24,Ekko,0.0207097357357504,129,Veigar,0.0033588805113738338,27,Ezreal,0.05810049251758237,100,Senna,0.043651558475035754,44,Jax,0.007655454913949518,93,Rek'Sai,0.00967257124126577,21,Diana,0.011504191500929661,128,Vayne,0.022346071560992952,13,Brand,0.005430300456492317,1,3,0.85,0.32,0.16,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
53,103,Shen,0.00710454046233914,24,Ekko,0.0207097357357504,129,Veigar,0.0033588805113738338,27,Ezreal,0.05810049251758237,100,Senna,0.043651558475035754,44,Jax,0.007655454913949518,93,Rek'Sai,0.00967257124126577,21,Diana,0.011504191500929661,128,Vayne,0.022346071560992952,13,Brand,0.005430300456492317,1,3,0.85,0.32,0.16,0.05,0.44,0.87,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
54,20,Darius,0.014958875382451945,102,Shaco,0.010845159257805968,53,Katarina,0.009896517881313276,7,Aphelios,0.01662764353814789,50,Karma,0.006833538979887967,45,Jayce,0.0009812093731256782,83,Olaf,0.01146511857394008,140,Yasuo,0.0153819410656454,128,Vayne,0.022346071560992952,146,Zilean,0.00400795117132072,1,1,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
55,20,Darius,0.014958875382451945,102,Shaco,0.010845159257805968,53,Katarina,0.009896517881313276,7,Aphelios,0.01662764353814789,50,Karma,0.006833538979887967,45,Jayce,0.0009812093731256782,83,Olaf,0.01146511857394008,140,Yasuo,0.0153819410656454,128,Vayne,0.022346071560992952,146,Zilean,0.00400795117132072,1,1,0.11,0.41,0.86,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
56,20,Darius,0.014958875382451945,102,Shaco,0.010845159257805968,53,Katarina,0.009896517881313276,7,Aphelios,0.01662764353814789,50,Karma,0.006833538979887967,45,Jayce,0.0009812093731256782,83,Olaf,0.01146511857394008,140,Yasuo,0.0153819410656454,128,Vayne,0.022346071560992952,146,Zilean,0.00400795117132072,1,1,0.11,0.41,0.86,0.91,0.48,0.22,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
57,33,Garen,0.019608493880910526,93,Rek'Sai,0.00967257124126577,144,Zed,0.010999224187051846,127,Varus,0.005941640520042968,100,Senna,0.043651558475035754,118,Teemo,0.003276672184214526,62,Lee Sin,0.06931485725380143,112,Sylas,0.009561148921175204,65,Lucian,0.023872794447207205,75,Morgana,0.015169986838869621,3,3,,,,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
58,33,Garen,0.019608493880910526,93,Rek'Sai,0.00967257124126577,144,Zed,0.010999224187051846,127,Varus,0.005941640520042968,100,Senna,0.043651558475035754,118,Teemo,0.003276672184214526,62,Lee Sin,0.06931485725380143,112,Sylas,0.009561148921175204,65,Lucian,0.023872794447207205,75,Morgana,0.015169986838869621,3,3,0.27,0.37,0.38,,,,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
59,33,Garen,0.019608493880910526,93,Rek'Sai,0.00967257124126577,144,Zed,0.010999224187051846,127,Varus,0.005941640520042968,100,Senna,0.043651558475035754,118,Teemo,0.003276672184214526,62,Lee Sin,0.06931485725380143,112,Sylas,0.009561148921175204,65,Lucian,0.023872794447207205,75,Morgana,0.015169986838869621,3,3,0.27,0.37,0.38,0.19,0.5,0.8,Mongol,65,Other,3,jeff final?,Firefox,Windows,1080,1920,4.321716666666667,1
